id;placed_date;status;code
1;2019-10-20T12:11:35;PENDING;Soap Tasty Metal Sausages Outdoors
2;2019-10-20T20:32:13;PENDING;North Carolina Granite
3;2019-10-20T15:07:36;PENDING;Branding Dynamic black
4;2019-10-21T08:55:50;CANCELLED;Ergonomic Rubber Chicken
5;2019-10-21T02:31:05;COMPLETED;quantifying Garden
6;2019-10-20T15:02:54;COMPLETED;Solomon Islands Dollar
7;2019-10-21T02:14:07;COMPLETED;intermediate Table quantify
8;2019-10-20T15:13:53;CANCELLED;Robust Louisiana
9;2019-10-20T13:47:05;COMPLETED;compress Fantastic Global
10;2019-10-20T22:28:10;PENDING;Fantastic Small Frozen Salad bypassing
