id;tracking_code;date;details
1;global;2019-10-21T07:52:13;Moroccan Dirham
2;Springs connecting;2019-10-21T03:12:32;connecting Planner Refined
3;engage Granite Grocery;2019-10-20T16:28:21;Credit Card Account transmitter cyan
4;Checking Account;2019-10-20T11:03:53;Home Loan Account withdrawal
5;partnerships International;2019-10-21T02:14:15;Berkshire solid state
6;middleware Switzerland;2019-10-20T17:51:08;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-10-20T22:46:22;concept payment
8;robust;2019-10-20T21:42:05;Creek
9;Shirt Metal;2019-10-20T19:12:53;Chicken
10;e-business RSS;2019-10-20T22:13:48;Officer Savings Account Automated
